feature,family,split,coverage,days,pairs,ic,ic_std,icir,positive_ic_ratio,rank_ic,rank_ic_std,rank_icir,positive_rank_ic_ratio
CNTN60,trend_reversal,basis_fit,0.9325136612021858,233,56900,0.013463521367732203,0.12977595261022035,0.10374434629017626,0.5321888412017167,0.025178524279054537,0.14575159389547745,0.17274956387173893,0.5793991416309013
CNTD5,trend_reversal,basis_fit,0.9325136612021858,233,56900,-0.01931120233059891,0.16243933051344275,-0.11888255307110368,0.44635193133047213,-0.03180478448170344,0.172621759388977,-0.18424551223601057,0.41630901287553645
CNTD10,trend_reversal,basis_fit,0.9325136612021858,233,56900,-0.025287074847977764,0.1607450905135347,-0.15731164645335527,0.45493562231759654,-0.036904990900450525,0.16508936296226545,-0.2235455406590061,0.3948497854077253
CNTD20,trend_reversal,basis_fit,0.9325136612021858,233,56900,-0.015958168645069763,0.15403183013097932,-0.1036030580919535,0.4978540772532189,-0.03068702321378793,0.15855294194060124,-0.19354433186918868,0.4291845493562232
CNTD30,trend_reversal,basis_fit,0.9325136612021858,233,56900,-0.04272209639123877,0.1508784260317848,-0.2831557666318624,0.41630901287553645,-0.050436587088498325,0.15044236904463335,-0.3352552037620118,0.39914163090128757
CNTD60,trend_reversal,basis_fit,0.9325136612021858,233,56900,-0.015357479652683614,0.15032276018250582,-0.10216336923322991,0.4678111587982833,-0.025656613709376493,0.15676420747887745,-0.1636637222360435,0.44206008583690987
SUMP5,trend_reversal,basis_fit,0.9300136612021858,233,56802,-0.03508136531792855,0.1872984474881423,-0.1873019546526114,0.4248927038626609,-0.049299914071932086,0.1999080173077061,-0.2466129909939918,0.40772532188841204
SUMP10,trend_reversal,basis_fit,0.9312158469945355,233,56856,-0.038456128287215514,0.20645096722730674,-0.18627245395694625,0.45064377682403434,-0.05558779831010591,0.21873556917444198,-0.25413241440295675,0.4248927038626609
SUMP20,trend_reversal,basis_fit,0.9316530054644808,233,56877,-0.03657270143852156,0.20575702125934184,-0.17774703975921344,0.47639484978540775,-0.06194553794332357,0.2170974498148621,-0.2853351708928406,0.4291845493562232
SUMP30,trend_reversal,basis_fit,0.9319398907103825,233,56888,-0.0836849723155723,0.19178859849676225,-0.436339662375629,0.3562231759656652,-0.11362851253016129,0.2026725893906053,-0.5606506181808739,0.2832618025751073
SUMP60,trend_reversal,basis_fit,0.9321857923497268,233,56895,-0.05772499299618117,0.18141934983050872,-0.31818542537006567,0.4034334763948498,-0.09232260455943522,0.20394826875562158,-0.4526765788341141,0.3605150214592275
SUMN5,trend_reversal,basis_fit,0.9300136612021858,233,56802,0.03513446167048943,0.18734823273097612,0.1875355916537573,0.575107296137339,0.049366581526056885,0.19996479547851967,0.246876363451485,0.592274678111588
SUMN10,trend_reversal,basis_fit,0.9312158469945355,233,56856,0.03845612807149314,0.20645096774839436,0.1862724524418812,0.5493562231759657,0.0555878701545697,0.21873618487468086,0.2541320275217258,0.575107296137339
SUMN20,trend_reversal,basis_fit,0.9316530054644808,233,56877,0.03657269908706095,0.20575702064545878,0.1777470288611906,0.5236051502145923,0.061944836956126195,0.21709923701387043,0.2853295930845144,0.5708154506437768
SUMN30,trend_reversal,basis_fit,0.9319398907103825,233,56888,0.08368497339866031,0.1917885999744761,0.43633966466097257,0.6437768240343348,0.11362931035528241,0.20267208626803518,0.5606559464977673,0.7167381974248928
SUMN60,trend_reversal,basis_fit,0.9321857923497268,233,56895,0.05772499685625337,0.18141934790678144,0.3181854500210978,0.5965665236051502,0.09232222623226764,0.20394811582010305,0.4526750632680642,0.6394849785407726
SUMD5,trend_reversal,basis_fit,0.9300136612021858,233,56802,-0.03513578239593579,0.18734951492284535,-0.1875413577153134,0.4248927038626609,-0.04936441029643588,0.19996377099141888,-0.24686677017385453,0.40772532188841204
SUMD10,trend_reversal,basis_fit,0.9312158469945355,233,56856,-0.038456127703553715,0.2064509676499809,-0.1862724507484636,0.45064377682403434,-0.05558906651219263,0.21873515287563,-0.2541386959589429,0.4248927038626609
SUMD20,trend_reversal,basis_fit,0.9316530054644808,233,56877,-0.0365727004107794,0.20575702101412183,-0.17774703497612016,0.47639484978540775,-0.061945436674213726,0.21709811424923137,-0.28533383115018485,0.4291845493562232
SUMD30,trend_reversal,basis_fit,0.9319398907103825,233,56888,-0.08368497259828714,0.19178859871974077,-0.436339663342425,0.3562231759656652,-0.11362898890824454,0.2026724806846749,-0.5606532693751974,0.2832618025751073
SUMD60,trend_reversal,basis_fit,0.9321857923497268,233,56895,-0.05772499393417705,0.18141934912566274,-0.3181854317765907,0.4034334763948498,-0.09232132973673654,0.20394967696153385,-0.4526672025773736,0.3605150214592275
